Site Id;Site Name;Longitude;Latitude;River
95414;ADAMOWICE;18 20;50 08;ODRA
91908;ALEKSANDRÓWKA;23 07;54 16;CZARNA HAŃCZA
95506;ALWERNIA;19 32;50 03;WISŁA
95751;ANNOPOL;21 50;50 53;WISŁA
6522;ANTAŁÓWKA;19 59;49 18;BIAŁY DUNAJEC
93420;BABIAK;18 40;52 21;NOTEĆ
92730;BABIĘTA;21 16;53 40;PISA
93152;BABIMOST;15 47 46;52 08 24;OBRZYCA
95418;BABORÓW;17 59;50 09;PSINA
93301;BACHORZEW;17 34;52 00;LUTYNIA
92803;BACIUTY;22 59;53 03;NAREW
92854;BACZE SUCHE;22 07 00;53 04 06;NAREW
91804;BAKAŁARZEWO;22 39;54 06;ROSPUDA (NETTA)
95632;BALICE;20 51;50 33;WSCHODNIA
91813;BANIE MAZURSKIE;22 02;54 15;WĘGORAPA
96510;BAŃSKA WYŻNA;19 59;49 24;BIAŁY DUNAJEC
95733;BARANÓW SANDOMIERSKI;21 32;50 30;WISŁA
95754;BARANÓWEK;21 15;50 47;WISŁA
91708;BARCIANY;21 21;54 13;LIWNA
93355;BARCIN;17 57;52 52;NOTEĆ
95223;BARDO ŚLĄSKIE;16 44 40;50 30 33;NYSA KŁODZKA
92843;BARSZCZOWA GÓRA;22 58;53 58;SZCZEBERKA
95653;BARTKÓW;20 39;50 59;CZARNA NIDA
96717;BARTNE;21 21;49 33;BARTNE
94723;BARTODZIEJE;21 12;51 32;RADOMKA
91613;BARTOSZYCE;20 49;54 15;ŁYNA
93524;BARUCHOWO;19 14;52 30;ZGŁOWIĄCZKA
92226;BARWICE;16 21;53 45;PARSĘTA
6708;BARWINEK;21 41;49 26;PANNA
94744;BASINÓW;21 21 16;51 41 19;PILICA
95844;BATORZ;22 30;50 50;PÓR
92555;BĄGART;19 22;53 58;ELBLĄG
91419;BĄKOWO;18 32;54 18;MARTWA WISŁA
95484;BĄKÓW;18 19;50 58;STOBRAWA
94555;BEŁCHATÓW;19 22;51 24;WIDAWKA
95908;BEŁŻEC;23 26;50 23;BUG
96720;BESKO;21 58;49 36;WISŁOK
4902;BEZEK;23 16;51 11;MOGILNICA
3903;BIAŁA PODLASKA;23 05;52 02;KRZNA
94636;BIAŁA RAWSKA;20 28;51 48;BIAŁKA
93053;BIAŁCZYK;14 53 57;52 39 19;WARTA
96610;BIAŁKA TATRZAŃSKA;20 07;49 24;BIAŁKA
92832;BIAŁOBRZEGI;22 58;53 48;NETTA
94630;BIAŁOBRZEGI;20 57 03;51 39 26;PILICA
92304;BIAŁOŚLIWIE;17 05;53 05;NOTEĆ
95309;BIELICE;17 00;50 16;BIAŁA LĄDECKA
93024;BIELINEK;14 09;52 57;ODRA
95646;BIELINY KAPITULNE;20 56;50 51;CZARNA NIDA
3901;BIELSK PODLASKI;23 10;52 46;NAREW
96557;BIEŃKÓWKA;19 46;49 46;SKAWA
94107;BIERNA;15 07;51 02;NYSA ŁUŻYCKA
5508;BIERUŃ STARY;19 06;50 05;WISŁA
94306;BIERUTÓW;17 33;51 08;WIDAWA
95357;BIESTRZYKOWICE;17 46;50 59;ODRA
92015;BINOWO;14 39;53 18;PŁONIA
6803;BIRCZA;22 29;49 41;SAN
2601;BISKUPIEC;20 59;53 51;JEZ.DADAJ
92522;BISKUPIEC;19 24;53 29;OSA
92652;BISKUPIEC;20 58;53 51;WADĄG
93201;BŁOTNICA;16 17 54;51 59 49;CZERNICA
94164;BOBROWICE;15 05;51 58;BÓBR
93367;BOBROWNIKI;17 08;52 49;WEŁNA
94502;BOBRY;19 24;51 02;WARTA
6601;BOCHNIA;20 24;49 59;RABA
93006;BOCZÓW;14 57;52 19;ODRA
93910;BOĆKI;23 02;52 39;NURZEC
5601;BODZENTYN;20 57;50 57;KAMIENNA
5001;BOGATYNIA;14 59;50 54;NYSA ŁUŻYCKA
95050;BOGATYNIA;14 59;50 54;NYSA ŁUŻYCKA
96555;BOGDANÓWKA;19 48;49 45;SKAWA
94732;BOGLEWICE;21 00;51 48;WISŁA
95764;BOGUSŁAWICE;21 24 40;50 50 18;KAMIENNA
95252;BOGUSZÓW-GORCE;16 11 19;50 44 43;BÓBR
92623;BOLEJNY;20 27;53 31;ŁYNA
95522;BOLESŁAW;19 28;50 16;PRZEMSZA
95264;BOLESŁAWICE;16 27 45;50 53 41;BYSTRZYCA
5252;BOLESŁAWÓW;16 53;50 15;NYSA KŁODZKA
93014;BOLESZKOWICE;14 34;52 43;MYŚLA
95267;BOLKÓW;16 08;50 55;KACZAWA
95580;BONOWICE;19 48;50 37;PILICA
93661;BORKOWO;20 40;52 33;WKRA
91651;BORNITY;20 03 03;54 11 03;
94156;BOROWIEC;15 52;51 48;ODRA
92360;BOROWY MŁYN;17 19;53 58;BRDA
95348;BORÓW;16 59 24;50 52 56;ODRA
95401;BORUCIN;18 10;50 01;ODRA
1351;BORUCINO;17 59 28;54 15 12;MARTWA WISŁA
91353;BORUCINO;17 59;54 15;MARTWA WISŁA
95605;BORZĘCIN;20 43;50 04;USZWICA
92447;BOŻEPOLE SZLACHECKIE;18 14;53 59;WIERZYCA
95303;BRANICE;17 48;50 03;OPAWA
91522;BRANIEWO;19 °4 9';54 °2 1';PASŁĘKA
93832;BRAŃSK;22 49;52 45;NURZEC
94547;BRATOSZEWICE;19 39;51 56;BZURA
96433;BRENNA;18 52;49 45;WISŁA
96450;BRENNA-LEŚNICA;18 54;49 43;WISŁA
93215;BRODNICA;16 °5 4';52 °0 9';WARTA
92512;BRODNICA N/DRWĘCĄ;19 24;53 15;DRWĘCA
93235;BRODY;16 19;52 27;OBRA
94703;BRODY IŁŻECKIE;21 12;51 01;KAMIENNA
92451;BRODY POMORSKIE;18 46;53 52;WIERZYCA
94007;BROŻEK (ZASIEKI);14 41;51 43;NYSA ŁUŻYCKA
92558;BRUDNICE;19 52 06;53 04 13;WKRA
95460;BRUSIEK;18 49;50 35;MAŁA PANEW
91252;BRUSKOWO MAŁE;16 53;54 29;WIEPRZA
93657;BRWINÓW;20 43;52 08;BZURA
95544;BRYNICA;19 00;50 28;PRZEMSZA
95347;BRZEG;17 29;50 52;ODRA
94219;BRZEG DOLNY;16 43;51 16;ODRA
96851;BRZEGI DOLNE;22 37;49 27;STRWIĄŻ
94320;BRZEZIE;17 08;51 25;BARYCZ
96739;BRZEZINY;21 33;49 56;WIELOPOLKA
92155;BRZEŹNIAK;15 40;53 32;REGA
96576;BRZEŹNICA;19 38;49 58;WISŁA
95710;BRZEŹNICA N/WISŁOKĄ;21 29;50 06;WIELOPOLKA
96737;BRZOSTEK;21 25;49 53;WISŁOKA
92514;BRZOZIE;19 37;53 20;DRWĘCA
96828;BRZOZÓW;22 01;49 42;WISŁOK
92560;BRZUZE;19 16 05;53 03 27;DRWĘCA
94142;BUCZYNA;15 54;51 33;BÓBR
92546;BUCZYNIEC;19 37;53 59;ELBLĄG
92559;BUCZYNIEC;19 35 05;53 58 04;
93150;BUDACHÓW;15 06;52 09;ODRA
95725;BUDY TUSZOWSKIE;21 40;50 23;WISŁA
94209;BUDZISZÓW MAŁY;16 28;51 06;ODRA
94208;BUDZISZÓW WIELKI;16 27;51 06;ODRA
96842;BUDZIWÓJ;22 01;49 58;WISŁOK
96560;BUDZÓW;19 41;49 47;SKAWA
96856;BUKOWIEC;22 24 45;49 18 20;
91328;BUKOWINA;17 51;54 25;ŁUPAWA
6626;BUKOWINA TATRZAŃSKA;20 07;49 21;PORONIEC
95102;BUKÓWKA;15 58;50 43;BÓBR
94626;BUKÓWNO;20 51;51 33;PILICA
92813;BURZYN;22 27;53 17;BIEBRZA
2450;BYDGOSZCZ;18 03;53 10;BRDA
92367;BYDGOSZCZ-SZWEDEROWO;17 59 42;53 05 47;BRDA
95279;BYSTRZYCA KŁODZKA;16 39;50 18;NYSA KŁODZKA
92557;BYSZWAŁD;19 44 32;53 31 58;DRWĘCA
94150;BYTOM ODRZAŃSKI;15 50;51 44;ODRA
94750;CELEJÓW;21 21 25;51 51 40;WILGA
93772;CELESTYNÓW;21 23;52 03;ŚWIDER
96424;CHAŁUPKI;18 19;49 56;ODRA
95533;CHECHŁO;19 31;50 22;PRZEMSZA
94907;CHEŁM;23 30;51 09;UHERKA
